id,regionName,regionShortName
1,Москва,MSK
2,Санкт-Петербург,SPB
3,Екатеринбург,EKB
4,Новосибирск,NSK
5,Красноярск,KJA
6,Нижний Новгород,NNO
7,Казань,KZN
8,Самара,SAM
9,Омск,OMS
10,Челябинск,CHE
11,Ростов-на-Дону,ROV
12,Уфа,UFA
13,Волгоград,VGG
14,Пермь,PER
15,Краснодар,KRR
16,Воронеж,VRN
17,Саратов,SAR
18,Тюмень,TYU
19,Тольятти,TLY
20,Ижевск,IZH
21,Барнаул,BNL
22,Иркутск,IKT
23,Ульяновск,ULY
24,Хабаровск,KHV
25,Ярославль,YAR
26,Владивосток,VVO
27,Махачкала,MCX
28,Томск,TOM
29,Оренбург,REN
30,Кемерово,KEM